ID,主要编码,疾病名称,std-cut
I10A09903,A09.903,婴儿腹泻,"['婴儿', '腹泻']"
I10A09904,A09.904,出血性肠炎,"['出血性', '肠炎']"
I10A09905,A09.905,急性肠炎,"['急性', '肠炎']"
I10A15000,A15.000,肺结核，痰镜检（+）,"['肺结核', '痰', '镜检']"
I10A15001,A15.001,肺结核瘤，痰镜检（+）,"['肺结核', '瘤', '痰', '镜检']"
I10A15002,A15.002,肺干酪性结核，痰镜检（+）,"['肺', '干酪', '结核', '痰', '镜检']"
I10A15003,A15.003,结核性肺纤维变性，痰镜检（+）,"['结核性', '肺', '纤维', '变性', '痰', '镜检']"
I10A15004,A15.004,结核性肺炎，痰镜检（+）,"['结核', '性肺炎', '痰', '镜检']"
I10A15005,A15.005,结核性气胸，痰镜检（+）,"['结核性', '气胸', '痰', '镜检']"
I10A15006,A15.006,结核性支气管扩张，痰镜检（+）,"['结核性', '支气管', '扩张', '痰', '镜检']"
I10A15007,A15.007,空洞型肺结核，痰镜检（+）,"['空洞', '型', '肺结核', '痰', '镜检']"
I10A15008,A15.008,浸润型肺结核，痰镜检（+）,"['浸润', '型', '肺结核', '痰', '镜检']"
I10A15009,A15.009,增殖型肺结核，痰镜检（+）,"['增殖', '型', '肺结核', '痰', '镜检']"
I10A15100,A15.100,肺结核，痰培养（+）,"['肺结核', '痰', '培养']"
I10A15101,A15.101,肺结核瘤，痰培养（+）,"['肺结核', '瘤', '痰', '培养']"
I10A15102,A15.102,肺干酪性结核，痰培养（+）,"['肺', '干酪', '结核', '痰', '培养']"
I10A15103,A15.103,结核性肺纤维变性，痰培养（+）,"['结核性', '肺', '纤维', '变性', '痰', '培养']"
I10A15104,A15.104,结核性肺炎，痰培养（+）,"['结核', '性肺炎', '痰', '培养']"
I10A15105,A15.105,结核性气胸，痰培养（+）,"['结核性', '气胸', '痰', '培养']"
I10A15106,A15.106,结核性支气管扩张，痰培养（+）,"['结核性', '支气管', '扩张', '痰', '培养']"
I10A15107,A15.107,空洞型肺结核，痰培养（+）,"['空洞', '型', '肺结核', '痰', '培养']"
I10A15108,A15.108,浸润型肺结核，痰培养（+）,"['浸润', '型', '肺结核', '痰', '培养']"
I10A15109,A15.109,增殖型肺结核，痰培养（+）,"['增殖', '型', '肺结核', '痰', '培养']"
I10A15200,A15.200,肺结核，病理（+）,"['肺结核', '病理']"
I10A15201,A15.201,肺结核瘤，病理（+）,"['肺结核', '瘤', '病理']"
I10A15202,A15.202,肺干酪性结核，病理（+）,"['肺', '干酪', '结核', '病理']"
I10A15203,A15.203,结核性肺纤维变性，病理（+）,"['结核性', '肺', '纤维', '变性', '病理']"
I10A15204,A15.204,结核性肺炎，病理（+）,"['结核', '性肺炎', '病理']"
I10A15205,A15.205,结核性气胸，病理（+）,"['结核性', '气胸', '病理']"
I10A15206,A15.206,结核性支气管扩张，病理（+）,"['结核性', '支气管', '扩张', '病理']"
I10A15207,A15.207,空洞型肺结核，病理（+）,"['空洞', '型', '肺结核', '病理']"
I10A15208,A15.208,浸润型肺结核，病理（+）,"['浸润', '型', '肺结核', '病理']"
I10A15209,A15.209,增殖型肺结核，病理（+）,"['增殖', '型', '肺结核', '病理']"
I10A15300,A15.300,肺结核经证实（+）,"['肺结核', '经', '证实']"
I10A15301,A15.301,肺结核瘤经证实（+）,"['肺结核', '瘤经', '证实']"
I10A15302,A15.302,肺干酪性结核经证实（+）,"['肺', '干酪', '结核', '经', '证实']"
I10A15303,A15.303,结核性肺纤维变性经证实（+）,"['结核性', '肺', '纤维', '变性', '经', '证实']"
I10A15304,A15.304,结核性肺炎经证实（+）,"['结核', '性肺炎', '经', '证实']"
I10A15305,A15.305,结核性气胸经证实（+）,"['结核性', '气胸', '经', '证实']"
I10A15306,A15.306,结核性支气管扩张经证实（+）,"['结核性', '支气管', '扩张', '经', '证实']"
I10A15307,A15.307,空洞型肺结核经证实（+）,"['空洞', '型', '肺结核', '经', '证实']"
I10A15308,A15.308,浸润型肺结核经证实（+）,"['浸润', '型', '肺结核', '经', '证实']"
I10A15309,A15.309,增殖型肺结核 经证实（+）,"['增殖', '型', '肺结核', '经', '证实']"
I10A15400,A15.400,肺门淋巴结结核，细菌学（+）,"['肺门', '淋巴结', '结核', '细菌学']"
I10A15401,A15.401,肺门淋巴结结核，病理（+）,"['肺门', '淋巴结', '结核', '病理']"
I10A15402,A15.402,气管支气管淋巴结结核，细菌学（+）,"['气管', '支气管', '淋巴结', '结核', '细菌学']"
I10A15403,A15.403,气管支气管淋巴结结核，病理（+）,"['气管', '支气管', '淋巴结', '结核', '病理']"
I10A15404,A15.404,胸内淋巴结结核，细菌学（+）,"['胸内', '淋巴结', '结核', '细菌学']"
I10A15405,A15.405,胸内淋巴结结核，病理（+）,"['胸内', '淋巴结', '结核', '病理']"
I10A15406,A15.406,纵隔淋巴结结核，细菌学（+）,"['纵隔', '淋巴结', '结核', '细菌学']"
I10A15407,A15.407,纵隔淋巴结结核，病理（+）,"['纵隔', '淋巴结', '结核', '病理']"
I10A15408,A15.408,支气管淋巴结结核，细菌学（+）,"['支气管', '淋巴结', '结核', '细菌学']"
I10A15409,A15.409,支气管淋巴结结核，病理（+）,"['支气管', '淋巴结', '结核', '病理']"
I10A15500,A15.500,喉结核，细菌学（+）,"['喉结', '核', '细菌学']"
I10A15501,A15.501,喉结核，病理（+）,"['喉结', '核', '病理']"
I10A15502,A15.502,会厌结核，细菌学（+）,"['会厌', '结核', '细菌学']"
I10A15503,A15.503,会厌结核，病理（+）,"['会厌', '结核', '病理']"
I10A15504,A15.504,声带结核，细菌学（+）,"['声带', '结核', '细菌学']"
I10A15505,A15.505,声带结核，病理（+）,"['声带', '结核', '病理']"
I10A15506,A15.506,气管结核，细菌学（+）,"['气管', '结核', '细菌学']"
I10A15507,A15.507,气管结核，病理（+）,"['气管', '结核', '病理']"
I10A15508,A15.508,支气管结核，细菌学（+）,"['支气管', '结核', '细菌学']"
I10A15509,A15.509,支气管结核，病理（+）,"['支气管', '结核', '病理']"
I10A15600,A15.600,结核性胸膜炎，细菌学（+）,"['结核性', '胸膜炎', '细菌学']"
I10A15601,A15.601,结核性胸膜炎，病理（+）,"['结核性', '胸膜炎', '病理']"
I10A15602,A15.602,结核性脓胸，细菌学（+）,"['结核性', '脓胸', '细菌学']"
I10A15603,A15.603,结核性脓胸，病理（+）,"['结核性', '脓胸', '病理']"
I10A15604,A15.604,结核性胸腔积液，细菌学（+）,"['结核性', '胸腔', '积液', '细菌学']"
I10A15605,A15.605,结核性胸腔积液，病理（+）,"['结核性', '胸腔', '积液', '病理']"
I10A15606,A15.606,结核性渗出性胸膜炎，细菌学（+）,"['结核性', '渗出性', '胸膜炎', '细菌学']"
I10A15607,A15.607,结核性渗出性胸膜炎，病理（+）,"['结核性', '渗出性', '胸膜炎', '病理']"
I10A15608,A15.608,胸膜结核瘤，细菌学（+）,"['胸膜', '结核', '瘤', '细菌学']"
I10A15609,A15.609,胸膜结核瘤，病理（+）,"['胸膜', '结核', '瘤', '病理']"
I10A15700,A15.700,原发性呼吸道结核，细菌学（+）,"['原发性', '呼吸道', '结核', '细菌学']"
I10A15701,A15.701,原发性呼吸道结核，病理（+）,"['原发性', '呼吸道', '结核', '病理']"
I10A15702,A15.702,肺原发性结核性复征，细菌学（+）,"['肺', '原发性', '结核性', '复征', '细菌学']"
I10A15703,A15.703,肺原发性结核性复征，病理（+）,"['肺', '原发性', '结核性', '复征', '病理']"
I10A15800,A15.800,特指呼吸道结核，细菌学、病理（+）,"['特指', '呼吸道', '结核', '细菌学', '病理']"
I10A15801,A15.801,结核性鼻窦炎，细菌学（+）,"['结核性', '鼻窦炎', '细菌学']"
I10A15802,A15.802,结核性鼻窦炎，病理（+）,"['结核性', '鼻窦炎', '病理']"
I10A15803,A15.803,鼻中隔结核，细菌学（+）,"['鼻中隔', '结核', '细菌学']"
I10A15804,A15.804,鼻中隔结核，病理（+）,"['鼻中隔', '结核', '病理']"
I10A15805,A15.805,鼻咽结核，细菌学（+）,"['鼻咽', '结核', '细菌学']"
I10A15806,A15.806,鼻咽结核，病理（+）,"['鼻咽', '结核', '病理']"
I10A15807,A15.807,鼻结核，细菌学（+）,"['鼻', '结核', '细菌学']"
I10A15808,A15.808,鼻结核，病理（+）,"['鼻', '结核', '病理']"
I10A15809,A15.809,扁桃体结核，细菌学（+）,"['扁桃体', '结核', '细菌学']"
I10A15810,A15.810,扁桃体结核，病理（+）,"['扁桃体', '结核', '病理']"
I10A15811,A15.811,咽部结核，细菌学（+）,"['咽部', '结核', '细菌学']"
I10A15812,A15.812,咽部结核，病理（+）,"['咽部', '结核', '病理']"
I10A15813,A15.813,纵隔结核，细菌学（+）,"['纵隔', '结核', '细菌学']"
I10A15814,A15.814,纵隔结核，病理（+）,"['纵隔', '结核', '病理']"
I10A15900,A15.900,呼吸道结核，细菌学（+）,"['呼吸道', '结核', '细菌学']"
I10A15901,A15.901,呼吸道结核，病理（+）,"['呼吸道', '结核', '病理']"
I10A16000,A16.000,肺结核，细菌学和组织学检查（-）,"['肺结核', '细菌学', '组织学', '检查']"
I10A16001,A16.001,肺结核瘤，痰镜检（-）,"['肺结核', '瘤', '痰', '镜检']"
I10A16002,A16.002,结核性肺炎，痰镜检（-）,"['结核', '性肺炎', '痰', '镜检']"
I10A16003,A16.003,结核性肺纤维变性，痰镜检（-）,"['结核性', '肺', '纤维', '变性', '痰', '镜检']"
I10A16004,A16.004,结核性气胸，痰镜检（-）,"['结核性', '气胸', '痰', '镜检']"
I10A16005,A16.005,结核性支气管扩张，痰镜检（-）,"['结核性', '支气管', '扩张', '痰', '镜检']"
I10A16006,A16.006,肺干酪性结核，痰镜检（-）,"['肺', '干酪', '结核', '痰', '镜检']"
I10A16007,A16.007,空洞型肺结核，痰镜检（-）,"['空洞', '型', '肺结核', '痰', '镜检']"
I10A16008,A16.008,浸润型肺结核，痰镜检（-）,"['浸润', '型', '肺结核', '痰', '镜检']"
I10A16009,A16.009,增殖型肺结核，痰镜检（-）,"['增殖', '型', '肺结核', '痰', '镜检']"
I10A16010,A16.010,肺结核，痰培养（-）,"['肺结核', '痰', '培养']"
I10A16011,A16.011,肺结核瘤，痰培养（-）,"['肺结核', '瘤', '痰', '培养']"
I10A16012,A16.012,结核性肺炎，痰培养（-）,"['结核', '性肺炎', '痰', '培养']"
I10A16013,A16.013,结核性肺纤维变性，痰培养（-）,"['结核性', '肺', '纤维', '变性', '痰', '培养']"
I10A16014,A16.014,结核性气胸，痰培养（-）,"['结核性', '气胸', '痰', '培养']"
I10A16015,A16.015,结核性支气管扩张，痰培养（-）,"['结核性', '支气管', '扩张', '痰', '培养']"
I10A16016,A16.016,肺干酪性结核，痰培养（-）,"['肺', '干酪', '结核', '痰', '培养']"
I10A16017,A16.017,空洞型肺结核，痰培养（-）,"['空洞', '型', '肺结核', '痰', '培养']"
I10A16018,A16.018,浸润型肺结核，痰培养（-）,"['浸润', '型', '肺结核', '痰', '培养']"
I10A16019,A16.019,增殖型肺结核，痰培养（-）,"['增殖', '型', '肺结核', '痰', '培养']"
I10A16020,A16.020,肺结核，病理（-）,"['肺结核', '病理']"
I10A16021,A16.021,肺结核瘤，病理（-）,"['肺结核', '瘤', '病理']"
I10A16022,A16.022,结核性肺炎，病理（-）,"['结核', '性肺炎', '病理']"
I10A16023,A16.023,结核性肺纤维变性，病理（-）,"['结核性', '肺', '纤维', '变性', '病理']"
I10A16024,A16.024,结核性气胸，病理（-）,"['结核性', '气胸', '病理']"
I10A16025,A16.025,结核性支气管扩张，病理（-）,"['结核性', '支气管', '扩张', '病理']"
I10A16026,A16.026,肺干酪性结核，病理（-）,"['肺', '干酪', '结核', '病理']"
I10A16027,A16.027,空洞型肺结核，病理（-）,"['空洞', '型', '肺结核', '病理']"
I10A16028,A16.028,浸润型肺结核，病理（-）,"['浸润', '型', '肺结核', '病理']"
I10A16029,A16.029,增殖型肺结核，病理（-）,"['增殖', '型', '肺结核', '病理']"
I10A16030,A16.030,肺结核瘤，细胞学（组织学）（-）,"['肺结核', '瘤', '细胞学', '组织学']"
I10A16031,A16.031,结核性肺炎，细胞学（组织学）（-）,"['结核', '性肺炎', '细胞学', '组织学']"
I10A16032,A16.032,结核性肺纤维变性，细胞学（组织学）（-）,"['结核性', '肺', '纤维', '变性', '细胞学', '组织学']"
I10A16033,A16.033,结核性气胸，细胞学（组织学）（-）,"['结核性', '气胸', '细胞学', '组织学']"
I10A16034,A16.034,结核性支气管扩张，细胞学（组织学）（-）,"['结核性', '支气管', '扩张', '细胞学', '组织学']"
I10A16035,A16.035,肺干酪性结核，细胞学（组织学）（-）,"['肺', '干酪', '结核', '细胞学', '组织学']"
I10A16036,A16.036,空洞型肺结核，细胞学（组织学）（-）,"['空洞', '型', '肺结核', '细胞学', '组织学']"
I10A16037,A16.037,浸润型肺结核，细胞学（组织学）（-）,"['浸润', '型', '肺结核', '细胞学', '组织学']"
I10A16038,A16.038,增殖型肺结核，细胞学（组织学）（-）,"['增殖', '型', '肺结核', '细胞学', '组织学']"
I10A16100,A16.100,肺结核，未做细菌学和组织学检查,"['肺结核', '未', '做', '细菌学', '组织学', '检查']"
I10A16101,A16.101,肺结核瘤，未做细菌学和组织学检查,"['肺结核', '瘤', '未', '做', '细菌学', '组织学', '检查']"
I10A16102,A16.102,结核性肺炎，未做细菌学和组织学检查,"['结核', '性肺炎', '未', '做', '细菌学', '组织学', '检查']"
I10A16103,A16.103,结核性肺纤维变性，未做细菌学和组织学检查,"['结核性', '肺', '纤维', '变性', '未', '做', '细菌学', '组织学', '检查']"
I10A16104,A16.104,结核性气胸，未做细菌学和组织学检查,"['结核性', '气胸', '未', '做', '细菌学', '组织学', '检查']"
I10A16105,A16.105,结核性支气管扩张，未做细菌学和组织学检查,"['结核性', '支气管', '扩张', '未', '做', '细菌学', '组织学', '检查']"
I10A16106,A16.106,肺干酪性结核，未做细菌学和组织学检查,"['肺', '干酪', '结核', '未', '做', '细菌学', '组织学', '检查']"
I10A16107,A16.107,空洞型肺结核，未做细菌学和组织学检查,"['空洞', '型', '肺结核', '未', '做', '细菌学', '组织学', '检查']"
I10A16108,A16.108,浸润型肺结核，未做细菌学和组织学检查,"['浸润', '型', '肺结核', '未', '做', '细菌学', '组织学', '检查']"
I10A16109,A16.109,增殖型肺结核，未做细菌学和组织学检查,"['增殖', '型', '肺结核', '未', '做', '细菌学', '组织学', '检查']"
I10A16200,A16.200,肺结核,['肺结核']
I10A16201,A16.201,肺结核瘤,"['肺结核', '瘤']"
I10A16202,A16.202,结核性肺炎,"['结核', '性肺炎']"
I10A16203,A16.203,结核性肺纤维变性,"['结核性', '肺', '纤维', '变性']"
I10A16204,A16.204,结核性气胸,"['结核性', '气胸']"
I10A16205,A16.205,结核性支气管扩张,"['结核性', '支气管', '扩张']"
I10A16206,A16.206,肺干酪性结核,"['肺', '干酪', '结核']"
I10A16207,A16.207,空洞型肺结核,"['空洞', '型', '肺结核']"
I10A16208,A16.208,浸润型肺结核,"['浸润', '型', '肺结核']"
I10A16209,A16.209,增殖型肺结核,"['增殖', '型', '肺结核']"
I10A16210,A16.210,结核性肺不张,"['结核性', '肺不张']"
I10A16300,A16.300,胸腔内淋巴结结核,"['胸腔', '内', '淋巴结', '结核']"
I10A16301,A16.301,肺门淋巴结结核,"['肺门', '淋巴结', '结核']"
I10A16302,A16.302,胸内淋巴结结核,"['胸内', '淋巴结', '结核']"
I10A16303,A16.303,气管支气管淋巴结结核,"['气管', '支气管', '淋巴结', '结核']"
I10A16304,A16.304,支气管淋巴结结核,"['支气管', '淋巴结', '结核']"
I10A16305,A16.305,纵隔淋巴结结核,"['纵隔', '淋巴结', '结核']"
I10A16400,A16.400,喉结核,"['喉结', '核']"
I10A16401,A16.401,会厌结核,"['会厌', '结核']"
I10A16402,A16.402,气管结核,"['气管', '结核']"
I10A16403,A16.403,声带结核,"['声带', '结核']"
I10A16404,A16.404,支气管结核,"['支气管', '结核']"
I10A16405,A16.405,结核性支气管胸膜瘘,"['结核性', '支气管', '胸膜', '瘘']"
I10A16500,A16.500,结核性胸膜炎,"['结核性', '胸膜炎']"
I10A16501,A16.501,结核性脓胸,"['结核性', '脓胸']"
I10A16502,A16.502,结核性胸腔积液,"['结核性', '胸腔', '积液']"
I10A16503,A16.503,结核性渗出性胸膜炎,"['结核性', '渗出性', '胸膜炎']"
I10A16504,A16.504,胸膜结核瘤,"['胸膜', '结核', '瘤']"
I10A16505,A16.505,结核性脓气胸,"['结核性', '脓', '气胸']"
I10A16700,A16.700,原发性呼吸道结核,"['原发性', '呼吸道', '结核']"
I10A16701,A16.701,肺原发性结核性复征,"['肺', '原发性', '结核性', '复征']"
I10A16800,A16.800,特指呼吸道结核,"['特指', '呼吸道', '结核']"
I10A16801,A16.801,结核性鼻窦炎,"['结核性', '鼻窦炎']"
I10A16802,A16.802,鼻中隔结核,"['鼻中隔', '结核']"
I10A16803,A16.803,鼻咽结核,"['鼻咽', '结核']"
I10A16804,A16.804,鼻结核,"['鼻', '结核']"
I10A16805,A16.805,扁桃体结核,"['扁桃体', '结核']"
I10A16806,A16.806,咽部结核,"['咽部', '结核']"
I10A16807,A16.807,纵隔结核,"['纵隔', '结核']"
I10A16900,A16.900,呼吸道结核,"['呼吸道', '结核']"
I10A16901,A16.901,胸壁结核,"['胸壁', '结核']"
I10A17000,A17.000+,结核性脑膜炎,"['结核性', '脑膜炎']"
I10A17001,A17.001+,结核性脑脊髓膜炎,"['结核性', '脑脊髓', '膜炎']"
I10A17100,A17.100+,脑膜结核瘤,"['脑膜', '结核', '瘤']"
I10A17800,A17.800+,神经系统特指结核,"['神经系统', '特指', '结核']"
I10A17801,A17.801+,脑结核瘤,"['脑', '结核', '瘤']"
I10A17802,A17.802+,结核性脑肉芽肿,"['结核性', '脑', '肉芽肿']"
I10A17803,A17.803+,结核性脑膜脑炎,"['结核性', '脑膜', '脑炎']"
I10A17804,A17.804+,结核性脑炎,"['结核性', '脑炎']"
I10A17805,A17.805+,结核性脑脓肿,"['结核性', '脑', '脓肿']"
I10A17806,A17.806+,脊髓结核,"['脊髓', '结核']"
I10A17807,A17.807+,结核性脑积水,"['结核性', '脑积水']"
I10A17900,A17.900+,神经系统结核,"['神经系统', '结核']"
